trialnr	block	run	stim	keypress	go_nogo	face_onset	signal_onset	resp_onset	RT	accuracy	respmap	block_type
10	6	1	s_7.jpg	1	go	537711.778064	538195.020375	538478.378575	283.358200377	1	0	s_n
11	6	1	s_18.jpg	1	go	540511.708037	540928.293769	541428.273828	499.980059446	1	0	s_n
12	6	1	s_0.jpg	1	no-go	543261.778123	543461.787448	543811.685516	349.898068582	0	0	s_n
13	6	1	s_16.jpg	1	no-go	545878.363795	546145.045242	546795.116676	650.071434101	0	0	s_n
14	6	1	s_10.jpg	1	go	548678.42221	548895.131748	549628.342975	733.211226767	1	0	s_n
15	6	1	s_5.jpg	1	go	551261.661998	551545.105239	552011.593673	466.488433305	1	0	s_n
16	6	1	s_1.jpg	0	go	554261.701	554711.744341	556411.738124	1699.99378324	0	0	s_n
17	6	1	s_17.jpg	1	go	557711.677775	557944.956154	558394.91944	449.963285921	1	0	s_n
0	7	1	c_12.jpg	1	go	562828.437634	563061.746804	563495.071458	433.324653328	1	0	c_n
1	7	1	c_4.jpg	1	go	565695.048233	565978.286496	566328.270779	349.984282152	1	0	c_n
2	7	1	c_8.jpg	1	go	568295.119315	568545.097322	568811.787565	266.690243439	1	0	c_n
3	7	1	c_3.jpg	1	go	570995.083774	571461.733491	571761.6576	299.924108598	1	0	c_n
4	7	1	c_17.jpg	1	go	573878.367901	574278.321744	574628.317463	349.995718646	1	0	c_n
5	7	1	c_13.jpg	1	go	577044.966535	577361.57033	577711.576312	350.005982166	1	0	c_n
6	7	1	c_5.jpg	1	go	579895.088935	580394.92032	580794.940143	400.019823257	1	0	c_n
7	7	1	c_6.jpg	1	no-go	582944.952049	583311.656778	583744.911053	433.254274903	0	0	c_n
8	7	1	c_18.jpg	1	no-go	585728.408779	586028.333767	586344.951052	316.617284471	0	0	c_n
9	7	1	c_11.jpg	1	go	588328.360218	588711.645225	589078.294531	366.649306655	1	0	c_n
10	7	1	c_15.jpg	1	go	591195.064654	591678.256234	592011.75349	333.497256414	1	0	c_n
11	7	1	c_7.jpg	1	no-go	594011.759355	594228.261864	594561.751203	333.489338841	0	0	c_n
12	7	1	c_2.jpg	1	go	596945.070519	597144.971637	597461.680121	316.70848318	1	0	c_n
13	7	1	c_14.jpg	1	go	599511.630621	599845.059259	600145.011519	299.952259968	1	0	c_n
